iter	Logloss
0	0.6853735059
1	0.6783294958
2	0.671462025
3	0.6652818327
4	0.6597510592
5	0.6545347657
6	0.6496879409
7	0.6451590293
8	0.6407484404
9	0.6367156761
10	0.6330487909
11	0.6293869381
12	0.6262921875
13	0.6232081459
14	0.6204715721
15	0.6179080873
16	0.6154601735
17	0.6131728497
18	0.6110667523
19	0.6090448751
20	0.607381898
21	0.6054192825
22	0.6037766552
23	0.6023944275
24	0.6008459297
25	0.5995211321
26	0.5981922626
27	0.5969992488
28	0.5956413601
29	0.5945918348
30	0.5934614542
31	0.5923627623
32	0.5915119773
33	0.5905610528
34	0.5897266929
35	0.5886985278
36	0.5879791331
37	0.5872083892
38	0.586492986
39	0.5856169644
40	0.5849617691
41	0.5843250601
42	0.5836573035
43	0.5830735142
44	0.5826038466
45	0.5821036104
46	0.5815248755
47	0.5810955686
48	0.5805266373
49	0.580068075
50	0.5796802452
51	0.5793059175
52	0.5788626785
53	0.5784862409
54	0.5781691308
55	0.5776344596
56	0.5772953697
57	0.5769213095
58	0.5765753462
59	0.5761211128
60	0.5757534844
61	0.5754295465
62	0.5752396549
63	0.5749239071
64	0.5746469156
65	0.5743418287
66	0.5738743305
67	0.5736373371
68	0.5733502506
69	0.5731063204
70	0.5728731276
71	0.5725748972
72	0.5723008005
73	0.5718431213
74	0.5716075795
75	0.5713484352
76	0.5710893555
77	0.5708126466
78	0.5705869413
79	0.5702353573
80	0.5699865693
81	0.569737301
82	0.5695069644
83	0.5692289463
84	0.5690258617
85	0.5687369027
86	0.5684974193
87	0.5682752633
88	0.5680755672
89	0.5679422341
90	0.5677441527
91	0.5674524022
92	0.5672965147
93	0.5671242765
94	0.5668146538
95	0.5666053451
96	0.5664382467
97	0.56622593
98	0.5660340978
99	0.5658295817
100	0.5656491247
101	0.5654371892
102	0.5651124653
103	0.5649443166
104	0.5647369907
105	0.5646020713
106	0.5644463641
107	0.5642648138
108	0.5640729832
109	0.5639676664
110	0.5637609298
111	0.5636453271
112	0.5634878195
113	0.5633257051
114	0.5632237321
115	0.5630283161
116	0.5628423139
117	0.5626888467
118	0.5625361621
119	0.5623624753
120	0.5621366471
121	0.5620171686
122	0.5618562315
123	0.5616984129
124	0.5614837634
125	0.5612907123
126	0.5611799294
127	0.5610178612
128	0.5608778406
129	0.5606729031
130	0.560467473
131	0.5603781994
132	0.5602755016
133	0.5600595769
134	0.5598556411
135	0.5596292535
136	0.5594540188
137	0.5592808923
138	0.5591226536
139	0.5589648783
140	0.5588382166
141	0.5587141325
142	0.5585504245
143	0.5584019401
144	0.5582327042
145	0.5580843061
146	0.557886385
147	0.5576835058
148	0.5575357033
149	0.5573668481
150	0.5571968539
151	0.5570394577
152	0.556918975
153	0.5567451937
154	0.5566759446
155	0.5565920836
156	0.5564632505
157	0.5564311569
158	0.556270023
159	0.5561521843
160	0.5560460802
161	0.5559534506
162	0.5558584183
163	0.5557540376
164	0.5556483144
165	0.5555049701
166	0.5553528649
167	0.5552378816
168	0.5551684811
169	0.5550117578
170	0.5548407853
171	0.5546719477
172	0.5545465189
173	0.5544220175
174	0.5542748677
175	0.5541574067
176	0.5539931789
177	0.5538523109
178	0.5536811834
179	0.553538151
180	0.5533982463
181	0.553284142
182	0.5531645752
183	0.5529876034
184	0.5528674518
185	0.5527122467
186	0.5526107527
187	0.5524058121
188	0.5522729074
189	0.5521520771
190	0.5519835346
191	0.551865876
192	0.5517152978
193	0.5516025283
194	0.5514787616
195	0.5514070822
196	0.5512759006
197	0.5511820199
198	0.5509998119
199	0.5508091695
200	0.5506493678
201	0.5505722144
202	0.5504732587
203	0.5503586774
204	0.550253594
205	0.5501593304
206	0.5499812876
207	0.5498707761
208	0.5497839522
209	0.5496431285
210	0.5495721236
211	0.5495106455
212	0.5493396382
213	0.5492537428
214	0.5490845231
215	0.5489508642
216	0.5488045435
217	0.5487334102
218	0.5485630853
219	0.5484915237
220	0.5484225164
221	0.5483367478
222	0.5482350802
223	0.548124924
224	0.5479990621
225	0.5479094415
226	0.5477385061
227	0.5475891055
228	0.5474125606
229	0.5473231026
230	0.5471682269
231	0.547025823
232	0.5469303894
233	0.5468242468
234	0.5467422089
235	0.5466186116
236	0.5465186894
