iter	Passed	Remaining
0	36	36446
1	71	35806
2	109	36514
3	146	36594
4	181	36139
5	217	35972
6	251	35663
7	283	35141
8	316	34865
9	352	34893
10	387	34802
11	424	34956
12	461	35035
13	498	35099
14	531	34904
15	563	34682
16	595	34440
17	629	34358
18	666	34426
19	708	34725
20	748	34871
21	787	35010
22	824	35015
23	861	35035
24	897	35020
25	931	34882
26	971	35004
27	1009	35046
28	1047	35084
29	1083	35044
30	1119	34993
31	1157	35025
32	1192	34942
33	1223	34772
34	1262	34813
35	1299	34808
36	1336	34797
37	1373	34772
38	1410	34760
39	1447	34751
40	1482	34679
41	1520	34686
42	1555	34624
43	1595	34671
44	1635	34705
45	1674	34733
46	1712	34722
47	1747	34651
48	1781	34571
49	1815	34498
50	1854	34499
51	1894	34531
52	1931	34505
53	1970	34517
54	2015	34637
55	2056	34672
56	2096	34684
57	2137	34711
58	2172	34641
59	2204	34542
60	2244	34558
61	2285	34583
62	2322	34537
63	2359	34513
64	2393	34430
65	2428	34366
66	2464	34316
67	2497	34234
68	2535	34210
69	2570	34154
70	2607	34118
71	2649	34143
72	2685	34102
73	2722	34073
74	2758	34024
75	2793	33965
76	2828	33903
77	2863	33853
78	2942	34304
79	2981	34289
80	3025	34323
81	3062	34283
82	3099	34241
83	3132	34159
84	3167	34099
85	3201	34020
86	3236	33968
87	3276	33954
88	3317	33962
89	3355	33932
90	3391	33881
91	3434	33894
92	3478	33928
93	3526	33989
94	3572	34036
95	3615	34042
96	3657	34048
97	3698	34036
98	3740	34038
99	3781	34033
100	3824	34038
101	3867	34051
102	3906	34018
103	3949	34023
104	3989	34003
105	4028	33976
106	4067	33943
107	4107	33921
108	4148	33914
109	4186	33872
110	4229	33876
111	4269	33851
112	4311	33842
113	4349	33801
114	4389	33779
115	4427	33740
116	4464	33694
117	4504	33672
118	4545	33650
119	4582	33606
120	4622	33576
121	4667	33592
122	4712	33597
123	4761	33640
124	4804	33628
125	4846	33615
126	4892	33631
127	4936	33628
128	4978	33612
129	5021	33604
130	5063	33586
131	5101	33545
132	5142	33522
133	5182	33495
134	5222	33465
135	5264	33446
136	5305	33418
137	5341	33363
138	5377	33309
139	5411	33245
140	5449	33198
141	5483	33131
142	5519	33080
143	5559	33046
144	5599	33019
145	5635	32965
146	5674	32928
147	5712	32882
148	5746	32821
149	5779	32751
150	5825	32751
151	5866	32728
152	5908	32709
153	5950	32688
154	5994	32678
155	6038	32668
156	6077	32634
157	6116	32593
158	6150	32532
159	6186	32481
160	6225	32441
161	6261	32390
162	6302	32362
163	6337	32305
164	6372	32249
165	6413	32223
166	6449	32171
167	6484	32112
168	6520	32060
169	6554	31998
170	6591	31955
171	6628	31909
172	6663	31855
173	6698	31797
174	6732	31739
175	6765	31675
176	6803	31633
177	6837	31573
178	6870	31511
179	6903	31451
180	6936	31385
181	6967	31315
182	6999	31246
183	7033	31194
184	7067	31133
185	7101	31077
186	7134	31015
187	7166	30952
188	7201	30899
189	7236	30852
190	7269	30791
191	7305	30741
192	7339	30689
193	7364	30596
194	7395	30529
195	7429	30475
196	7464	30427
197	7498	30373
198	7535	30331
199	7573	30292
200	7607	30242
201	7643	30194
202	7676	30138
203	7711	30089
204	7745	30039
205	7785	30008
206	7822	29967
207	7856	29914
208	7896	29886
209	7946	29893
210	7985	29859
211	8019	29808
212	8055	29763
213	8090	29713
214	8129	29683
215	8166	29639
216	8203	29599
217	8238	29553
218	8278	29523
219	8311	29467
220	8346	29421
221	8378	29363
222	8416	29325
223	8454	29287
224	8494	29259
225	8528	29206
226	8568	29177
227	8617	29179
228	8653	29135
229	8693	29103
230	8732	29069
231	8772	29039
232	8810	29002
233	8847	28962
234	8888	28934
235	8926	28896
236	8964	28861
237	9006	28834
238	9041	28787
239	9072	28730
240	9107	28683
241	9161	28695
242	9226	28742
243	9273	28732
244	9313	28701
245	9349	28657
246	9389	28625
247	9425	28579
248	9459	28531
249	9506	28518
250	9545	28484
251	9583	28447
252	9620	28404
253	9659	28371
254	9701	28344
255	9747	28327
256	9794	28315
257	9839	28298
258	9883	28277
259	9922	28241
260	9965	28216
261	10005	28183
262	10042	28141
263	10087	28123
264	10130	28098
265	10173	28072
266	10212	28036
267	10253	28005
268	10294	27974
269	10331	27932
270	10369	27894
271	10407	27855
272	10446	27818
273	10494	27805
274	10534	27772
275	10577	27747
276	10624	27730
277	10668	27706
278	10710	27677
279	10754	27653
280	10798	27631
281	10841	27604
282	10886	27582
283	10926	27547
284	10969	27520
285	11006	27478
286	11043	27436
287	11084	27404
288	11123	27366
289	11171	27351
290	11220	27337
291	11267	27319
292	11313	27299
293	11357	27273
294	11401	27246
295	11443	27217
296	11482	27178
297	11533	27168
298	11576	27139
299	11619	27112
300	11663	27086
301	11709	27062
302	11755	27041
303	11801	27018
304	11841	26983
305	11887	26961
306	11933	26937
307	11977	26910
308	12031	26905
309	12084	26897
310	12133	26880
311	12175	26849
312	12222	26827
313	12268	26802
314	12311	26771
315	12357	26748
316	12401	26719
317	12443	26687
318	12486	26656
319	12529	26624
320	12571	26591
321	12613	26559
322	12651	26517
323	12692	26481
324	12732	26444
325	12771	26404
326	12811	26366
327	12846	26320
328	12883	26275
329	12920	26231
330	12956	26187
331	12991	26139
332	13027	26093
333	13063	26049
334	13099	26003
335	13139	25966
336	13182	25933
337	13223	25900
338	13265	25866
339	13306	25830
340	13347	25794
341	13388	25759
342	13427	25719
343	13460	25667
344	13496	25622
345	13530	25574
346	13567	25532
347	13600	25481
348	13637	25437
349	13670	25388
350	13702	25336
351	13736	25287
352	13770	25238
353	13809	25200
354	13847	25159
355	13884	25117
356	13919	25070
357	13956	25028
358	13997	24992
359	14031	24945
360	14065	24897
361	14098	24846
362	14128	24792
363	14162	24745
364	14192	24690
365	14224	24640
366	14257	24590
367	14287	24537
368	14323	24493
369	14356	24445
370	14388	24393
371	14421	24345
372	14455	24298
373	14487	24249
374	14522	24204
375	14555	24156
376	14589	24108
377	14623	24063
378	14659	24020
379	14691	23970
380	14726	23925
381	14761	23880
382	14796	23836
383	14834	23796
384	14866	23747
385	14900	23701
386	14934	23656
387	14966	23607
388	14998	23558
389	15031	23510
390	15068	23469
391	15107	23431
392	15190	23461
393	15235	23432
394	15272	23391
395	15311	23354
396	15346	23310
397	15381	23265
398	15418	23224
399	15450	23176
400	15485	23131
401	15521	23089
402	15559	23049
403	15601	23015
404	15639	22977
405	15680	22941
406	15727	22915
407	15776	22891
408	15830	22874
409	15885	22859
410	15931	22830
411	15978	22804
412	16022	22773
413	16060	22732
414	16098	22692
415	16142	22660
416	16187	22631
417	16226	22593
418	16271	22562
419	16313	22528
420	16353	22490
421	16388	22446
422	16435	22418
423	16477	22384
424	16511	22339
425	16551	22301
426	16589	22262
427	16635	22232
428	16682	22204
429	16729	22176
430	16768	22137
431	16805	22096
432	16843	22056
433	16888	22024
434	16925	21983
435	16962	21942
436	17014	21919
437	17059	21889
438	17109	21863
439	17161	21841
440	17213	21819
441	17260	21789
442	17304	21757
443	17345	21721
444	17388	21687
445	17429	21650
446	17472	21616
447	17513	21579
448	17551	21538
449	17594	21503
450	17634	21466
451	17671	21424
452	17706	21380
453	17740	21335
454	17774	21289
455	17807	21244
456	17844	21202
457	17881	21160
458	17915	21116
459	17951	21073
460	17988	21031
461	18022	20987
462	18058	20944
463	18098	20906
464	18144	20875
465	18189	20843
466	18233	20810
467	18275	20774
468	18317	20739
469	18357	20701
470	18390	20655
471	18425	20611
472	18463	20571
473	18506	20536
474	18545	20497
475	18586	20460
476	18625	20421
477	18661	20379
478	18696	20335
479	18733	20294
480	18766	20249
481	18800	20205
482	18835	20160
483	18872	20119
484	18906	20075
485	18945	20037
486	18983	19996
487	19019	19954
488	19052	19909
